Wert;Name;;;;;;;;;;;;;;;;;;;;;
1457;Mitte;;;;;;;;;;;;;;;;;;;;;
1817;Nordost;;;;;;;;;;;;;;;;;;;;;
3561;Ost;;;;;;;;;;;;;;;;;;;;;
1461;Südost;;;;;;;;;;;;;;;;;;;;;
1669;Süd;;;;;;;;;;;;;;;;;;;;;
1506;Südwest;;;;;;;;;;;;;;;;;;;;;
2469;West;;;;;;;;;;;;;;;;;;;;;
2016;Alt-West;;;;;;;;;;;;;;;;;;;;;
973;Nordwest;;;;;;;;;;;;;;;;;;;;;
1581;Nord;;;;;;;;;;;;;;;;;;;;;
